pickup_hour,trip_count,avg_fare,avg_distance
0,2137965,11.634955997876485,3.746956711378836
1,1583491,11.364496400674206,3.7328289586546126
2,1180812,11.34192449771852,3.7871873756831205
3,865189,11.804288172873209,3.990061761801607
4,626831,13.544977785080828,4.635047158455379
5,527879,15.112926560821702,5.177748442095077
6,1107975,12.13795023353415,4.050542697247275
7,1944867,10.959013963422692,3.363392079709888
8,2453287,10.92216842546347,3.021332875306688
9,2524703,10.869205233249218,2.906288923168588
10,2436888,10.892425675697858,2.9510906693877144
11,2514558,11.11068200852794,2.9849004692410297
12,2656213,11.099254047021079,2.9671203361945278
13,2639934,11.490211603774943,3.126293902637181
14,2719807,11.839774355312711,3.2352929921092017
15,2596961,11.934677632817744,3.284422031032855
16,2228719,11.844541106348535,3.338789745381309
17,2675843,11.464961195406458,3.1901120359570565
18,3252181,10.887591929846463,3.0174510879998695
19,3376393,10.531202706556968,3.01917938289144
20,3180756,10.711683939289905,3.2336450562848493
21,3092390,10.99187054672923,3.404378837985571
22,3007842,11.295717906725155,3.5380632175008055
23,2672874,11.575197689827505,3.671220189346746
